West Bank and Gaza	1957	1070439	Asia	45.671	1827.067742
Kuwait	1957	212846	Asia	58.033	113523.1329
Sao Tome and Principe	1957	61325	Africa	48.945	860.7369026
Switzerland	1957	5126000	Europe	70.56	17909.48973
Canada	1957	17010154	Americas	69.96	12489.95006
Norway	1957	3491938	Europe	73.44	11653.97304
Bahrain	1957	138655	Asia	53.832	11635.79945
Netherlands	1957	11026383	Europe	72.99	11276.19344
Denmark	1957	4487831	Europe	71.81	11099.65935
Australia	1957	9712569	Oceania	70.33	10949.64959
